CustomerID,Recency,Frequency,Monetary,AvgOrderValue,NumCategories,FirstPurchase,LastPurchase,CustomerAge,AvgSentiment,Cluster,Segment
C10023,9,3,1532.28,218.9,5,2023-11-03,2024-11-22,385,0.46193333333333336,0,Lost / Inactive
C10024,85,10,6101.99,160.58,7,2023-05-18,2024-09-07,478,0.3313307692307692,0,Lost / Inactive
C10025,10,4,2879.68,191.98,7,2023-08-01,2024-11-21,478,0.6336363636363637,0,Lost / Inactive
C10026,77,4,6306.41,217.46,7,2022-12-25,2024-09-15,630,0.37141818181818187,0,Lost / Inactive
C10027,334,1,57.04,57.04,1,2024-01-02,2024-01-02,0,0.8499,0,Lost / Inactive
C10028,101,4,611.65,101.94,5,2022-12-21,2024-08-22,610,0.36258,0,Lost / Inactive
C10031,67,1,142.12,142.12,1,2024-09-25,2024-09-25,0,0.4404,0,Lost / Inactive
C10032,7,2,140.48,70.24,2,2024-07-09,2024-11-24,138,0.8129,0,Lost / Inactive
C10033,375,4,2107.04,175.59,6,2023-03-18,2023-11-22,249,0.579175,0,Lost / Inactive
C10034,585,3,1366.0,151.78,5,2023-03-11,2023-04-26,46,0.2914,0,Lost / Inactive
C10037,3,24,9448.22,121.13,7,2022-12-13,2024-11-28,716,0.5449066666666667,0,Lost / Inactive
C10038,23,2,460.96,76.83,4,2023-09-25,2024-11-08,410,0.46495,0,Lost / Inactive
C10039,13,16,5136.02,135.16,7,2022-12-04,2024-11-18,715,0.27294999999999997,0,Lost / Inactive
C10040,195,2,1392.84,348.21,3,2023-12-20,2024-05-20,152,0.0,0,Lost / Inactive
C10041,11,1,90.1,90.1,1,2024-11-20,2024-11-20,0,0.8687,0,Lost / Inactive
C10042,367,1,614.08,153.52,4,2023-11-30,2023-11-30,0,0.589225,0,Lost / Inactive
C10043,9,4,4695.84,167.71,7,2022-12-30,2024-11-22,693,0.6208571428571429,0,Lost / Inactive
C10044,73,2,181.86,90.93,2,2024-08-25,2024-09-19,25,0.91,0,Lost / Inactive
C10045,337,3,843.94,105.49,6,2023-08-12,2023-12-30,140,0.4664,0,Lost / Inactive
C10046,174,6,3309.29,157.59,7,2023-02-18,2024-06-10,478,0.4420625,0,Lost / Inactive
C10047,396,1,761.98,380.99,2,2023-11-01,2023-11-01,0,0.91,0,Lost / Inactive
C10048,2,4,1083.49,216.7,3,2023-11-19,2024-11-29,376,0.7901000000000001,0,Lost / Inactive
C10049,48,2,366.48,183.24,2,2023-12-11,2024-10-14,308,0.8499,0,Lost / Inactive
C10050,706,1,261.27,261.27,1,2022-12-26,2022-12-26,0,0.0,0,Lost / Inactive
C10051,12,7,7282.56,151.72,7,2023-02-06,2024-11-19,652,0.44815,0,Lost / Inactive
C10052,12,4,2358.85,131.05,7,2023-11-25,2024-11-19,360,0.24265454545454546,0,Lost / Inactive
C10053,169,2,2004.96,143.21,6,2024-05-31,2024-06-15,15,0.5432,0,Lost / Inactive
C10054,15,3,1615.27,146.84,6,2023-08-11,2024-11-16,463,0.3318857142857143,0,Lost / Inactive
C10055,109,3,627.76,125.55,4,2023-11-10,2024-08-14,278,0.7900333333333333,0,Lost / Inactive
C10056,8,1,163.2,81.6,2,2024-11-23,2024-11-23,0,0.6124,0,Lost / Inactive
C10057,347,3,552.78,110.56,4,2023-03-02,2023-12-20,293,-0.02333333333333333,0,Lost / Inactive
C10058,243,5,3306.43,106.66,7,2022-12-08,2024-04-02,481,0.41874,0,Lost / Inactive
C10059,380,1,407.83,135.94,3,2023-11-17,2023-11-17,0,0.43435,0,Lost / Inactive
C10060,3,8,7235.74,126.94,7,2022-12-20,2024-11-28,709,0.3467967741935484,0,Lost / Inactive
C10061,8,10,3694.93,127.41,7,2023-01-27,2024-11-23,666,0.29383571428571426,0,Lost / Inactive
C10062,260,1,581.25,290.62,2,2024-03-16,2024-03-16,0,0.5994,0,Lost / Inactive
C10063,544,2,1071.63,133.95,5,2022-12-05,2023-06-06,183,0.43254000000000004,0,Lost / Inactive
C10064,101,7,6164.66,181.31,7,2022-12-12,2024-08-22,619,0.6321578947368421,0,Lost / Inactive
C10066,157,3,1322.56,82.66,5,2023-06-28,2024-06-27,365,0.44572,0,Lost / Inactive
C10068,6,12,4641.94,136.53,7,2022-12-20,2024-11-25,706,0.3886565217391304,0,Lost / Inactive
C10069,19,3,1178.12,107.1,5,2023-12-24,2024-11-12,324,0.4884363636363636,0,Lost / Inactive
C10070,26,7,1442.8,96.19,7,2023-02-07,2024-11-05,637,0.75345,0,Lost / Inactive
C10071,8,6,2806.55,200.47,6,2022-12-03,2024-11-23,721,0.46859999999999996,0,Lost / Inactive
C10072,377,3,2714.17,169.64,6,2022-12-30,2023-11-20,325,0.7191,0,Lost / Inactive
C10073,161,5,2647.33,147.07,7,2022-12-05,2024-06-23,566,0.5412750000000001,0,Lost / Inactive
C10074,24,16,8447.83,134.09,7,2022-12-19,2024-11-07,689,0.4134046511627907,0,Lost / Inactive
C10075,107,1,360.15,90.04,4,2024-08-16,2024-08-16,0,-0.5688,0,Lost / Inactive
C10076,165,2,176.44,88.22,2,2023-06-02,2024-06-19,383,0.7147,0,Lost / Inactive
C10079,268,2,939.31,156.55,4,2023-04-19,2024-03-08,324,0.5585,0,Lost / Inactive
C10080,280,2,1737.31,144.78,6,2023-04-10,2024-02-25,321,0.3252375,0,Lost / Inactive
C10081,375,3,361.32,120.44,2,2022-12-15,2023-11-22,342,0.2848333333333333,0,Lost / Inactive
C10082,142,5,2724.65,227.05,6,2022-12-08,2024-07-12,582,0.6511,0,Lost / Inactive
C10083,118,3,1151.24,88.56,6,2023-11-14,2024-08-05,265,0.20215000000000002,0,Lost / Inactive
C10084,727,1,119.02,119.02,1,2022-12-05,2022-12-05,0,0.7845,0,Lost / Inactive
C10085,115,4,4081.96,157.0,7,2023-08-27,2024-08-08,347,0.41442307692307695,0,Lost / Inactive
C10086,4,3,801.06,133.51,3,2023-01-11,2024-11-27,686,-0.41995,0,Lost / Inactive
C10087,630,1,24.85,24.85,1,2023-03-12,2023-03-12,0,0.8777,0,Lost / Inactive
C10088,138,3,1479.4,164.38,6,2022-12-13,2024-07-16,581,0.33931666666666666,0,Lost / Inactive
C10089,30,3,1632.35,326.47,4,2023-11-13,2024-11-01,354,0.8716,0,Lost / Inactive
C10090,258,4,1552.36,129.36,6,2023-03-06,2024-03-18,378,0.3653,0,Lost / Inactive
C10091,444,1,107.31,107.31,1,2023-09-14,2023-09-14,0,0.8685,0,Lost / Inactive
C10092,8,9,4650.47,155.02,6,2022-12-27,2024-11-23,697,0.2997705882352941,0,Lost / Inactive
C10093,618,3,3139.89,241.53,6,2023-02-06,2023-03-24,46,0.0557,0,Lost / Inactive
C10094,39,3,1299.0,216.5,3,2024-01-16,2024-10-23,281,0.71052,0,Lost / Inactive
C10095,71,4,1209.01,120.9,5,2023-01-09,2024-09-21,621,0.44504285714285713,0,Lost / Inactive
C10096,14,8,3597.31,171.3,6,2023-08-27,2024-11-17,448,0.35295454545454547,0,Lost / Inactive
C10097,373,3,1288.75,184.11,6,2023-04-19,2023-11-24,219,0.20046,0,Lost / Inactive
C10099,371,2,510.98,170.33,2,2022-12-13,2023-11-26,348,0.7152000000000001,0,Lost / Inactive
C10100,23,3,431.16,143.72,3,2023-09-03,2024-11-08,432,0.3861333333333333,0,Lost / Inactive
C10101,101,3,674.11,112.35,3,2023-01-17,2024-08-22,583,0.46055,0,Lost / Inactive
C10102,201,5,2361.6,168.69,6,2023-11-17,2024-05-14,179,0.3727875,0,Lost / Inactive
C10103,6,1,72.96,72.96,1,2024-11-25,2024-11-25,0,0.0,0,Lost / Inactive
C10105,8,4,2290.81,229.08,6,2023-03-10,2024-11-23,624,0.47779999999999995,0,Lost / Inactive
C10106,649,1,76.8,76.8,1,2023-02-21,2023-02-21,0,0.0,0,Lost / Inactive
C10108,78,7,2577.13,135.64,6,2023-03-05,2024-09-14,559,0.4620166666666667,0,Lost / Inactive
C10109,4,18,7221.29,141.59,7,2022-12-04,2024-11-27,724,0.5305645161290323,0,Lost / Inactive
C10110,3,17,6545.48,148.76,7,2022-12-15,2024-11-28,714,0.39805357142857145,0,Lost / Inactive
C10111,2,7,3836.65,119.9,7,2023-05-27,2024-11-29,552,0.38132,0,Lost / Inactive
C10112,6,4,1166.36,129.6,6,2023-08-23,2024-11-25,460,0.7105666666666667,0,Lost / Inactive
C10113,433,1,353.85,353.85,1,2023-09-25,2023-09-25,0,0.8499,0,Lost / Inactive
C10114,348,4,1509.8,83.88,7,2022-12-05,2023-12-19,379,0.5427071428571428,0,Lost / Inactive
C10115,148,6,3304.62,143.68,7,2022-12-17,2024-07-06,567,0.5047266666666667,0,Lost / Inactive
C10116,80,5,2098.56,149.9,7,2022-12-11,2024-09-12,641,0.82545,0,Lost / Inactive
C10117,708,1,12.4,12.4,1,2022-12-24,2022-12-24,0,-0.3412,0,Lost / Inactive
C10118,11,4,2271.26,174.71,6,2023-11-10,2024-11-20,376,0.5643555555555556,0,Lost / Inactive
C10119,43,4,1741.8,158.35,5,2024-02-14,2024-10-19,248,0.13173333333333334,0,Lost / Inactive
C10120,364,2,194.34,64.78,3,2023-11-26,2023-12-03,7,0.2842,0,Lost / Inactive
C10121,1,14,4791.71,133.1,6,2023-02-02,2024-11-30,667,0.5675294117647058,0,Lost / Inactive
C10122,215,3,571.7,63.52,5,2023-02-28,2024-04-30,427,0.29875999999999997,0,Lost / Inactive
C10124,6,15,8445.55,148.17,7,2022-12-19,2024-11-25,707,0.32785714285714285,0,Lost / Inactive
C10125,225,2,864.57,123.51,5,2022-12-20,2024-04-20,487,0.32295714285714283,0,Lost / Inactive
C10126,49,6,2849.88,114.0,7,2022-12-31,2024-10-13,652,0.33259375,0,Lost / Inactive
C10127,288,3,844.08,168.82,4,2023-05-15,2024-02-17,278,-0.438,0,Lost / Inactive
C10128,111,6,2732.29,210.18,7,2023-11-08,2024-08-12,278,0.538075,0,Lost / Inactive
C10129,181,6,4196.73,190.76,6,2022-12-12,2024-06-03,539,0.49284999999999995,0,Lost / Inactive
C10130,355,2,142.4,71.2,2,2022-12-05,2023-12-12,372,0.0,0,Lost / Inactive
C10131,158,3,1158.37,144.8,5,2023-08-22,2024-06-26,309,0.30424285714285715,0,Lost / Inactive
C10132,4,1,256.22,64.06,3,2024-11-27,2024-11-27,0,0.5990666666666667,0,Lost / Inactive
C10133,593,1,973.24,162.21,3,2023-04-18,2023-04-18,0,0.8257333333333333,0,Lost / Inactive
C10134,6,23,7731.46,145.88,7,2022-12-06,2024-11-25,720,0.43853548387096775,0,Lost / Inactive
C10135,667,1,628.66,157.16,2,2023-02-03,2023-02-03,0,0.3821666666666667,0,Lost / Inactive
C10136,23,9,7872.43,151.39,7,2022-12-09,2024-11-08,700,0.5095692307692308,0,Lost / Inactive
C10137,290,1,23.22,23.22,1,2024-02-15,2024-02-15,0,0.6989,0,Lost / Inactive
C10138,18,5,2444.76,116.42,6,2023-01-10,2024-11-13,673,0.2676705882352941,0,Lost / Inactive
C10139,26,11,5229.09,124.5,7,2022-12-20,2024-11-05,686,0.5172833333333333,0,Lost / Inactive
C10140,11,5,1340.04,148.89,4,2023-04-25,2024-11-20,575,-0.13116666666666665,0,Lost / Inactive
C10141,24,2,861.12,143.52,4,2024-04-08,2024-11-07,213,0.0,0,Lost / Inactive
C10142,545,4,1213.59,173.37,4,2023-02-12,2023-06-05,113,0.40342,0,Lost / Inactive
C10143,190,6,2586.61,95.8,6,2022-12-08,2024-05-25,534,0.43661333333333335,0,Lost / Inactive
C10144,40,2,283.81,70.95,3,2023-07-06,2024-10-22,474,-0.5003000000000001,0,Lost / Inactive
C10145,82,8,1624.41,108.29,7,2023-03-20,2024-09-10,540,0.3154363636363637,0,Lost / Inactive
C10146,23,5,3706.05,119.55,7,2023-03-18,2024-11-08,601,0.7024857142857143,0,Lost / Inactive
C10147,2,11,5434.22,187.39,7,2022-12-15,2024-11-29,715,0.5542888888888888,0,Lost / Inactive
C10148,108,4,5089.6,133.94,7,2023-11-21,2024-08-15,268,0.42564347826086957,0,Lost / Inactive
C10150,7,2,270.95,90.32,2,2024-11-21,2024-11-24,3,0.5485,0,Lost / Inactive
C10151,83,3,300.49,100.16,3,2023-02-02,2024-09-09,585,0.5355,0,Lost / Inactive
C10152,30,10,5642.51,176.33,7,2022-12-02,2024-11-01,700,0.3252722222222222,0,Lost / Inactive
C10153,29,12,6423.15,164.7,7,2022-12-21,2024-11-02,682,0.4604576923076923,0,Lost / Inactive
C10154,85,3,1674.03,334.81,4,2023-04-16,2024-09-07,510,-0.12155000000000002,0,Lost / Inactive
C10156,139,1,112.2,112.2,1,2024-07-15,2024-07-15,0,0.0,0,Lost / Inactive
C10157,16,6,4729.1,135.12,7,2022-12-01,2024-11-15,715,0.626,0,Lost / Inactive
C10158,38,6,3456.69,181.93,7,2023-01-21,2024-10-24,642,0.33848181818181816,0,Lost / Inactive
C10159,338,5,2363.03,214.82,6,2022-12-08,2023-12-29,386,0.49267000000000005,0,Lost / Inactive
C10160,601,2,1253.09,139.23,4,2023-03-13,2023-04-10,28,0.6702,0,Lost / Inactive
C10161,415,2,351.74,175.87,2,2023-03-16,2023-10-13,211,0.3182,0,Lost / Inactive
C10162,441,2,753.82,83.76,6,2023-03-12,2023-09-17,189,0.6054,0,Lost / Inactive
C10163,28,2,611.27,203.76,3,2024-02-02,2024-11-03,275,0.5835333333333333,0,Lost / Inactive
C10165,7,35,10770.02,136.33,7,2022-12-02,2024-11-24,723,0.34084166666666665,0,Lost / Inactive
C10166,504,1,561.52,140.38,2,2023-07-16,2023-07-16,0,0.23716666666666664,0,Lost / Inactive
C10168,320,3,2365.29,197.11,6,2023-07-01,2024-01-16,199,0.3476111111111111,0,Lost / Inactive
C10169,6,4,3727.71,186.39,7,2023-05-11,2024-11-25,564,0.6617272727272727,0,Lost / Inactive
C10170,12,3,1691.15,169.12,5,2023-05-18,2024-11-19,551,0.752575,0,Lost / Inactive
C10171,22,3,1437.13,119.76,7,2023-03-14,2024-11-09,606,0.58838,0,Lost / Inactive
C10173,212,2,452.45,150.82,3,2023-12-04,2024-05-03,151,0.47666666666666674,0,Lost / Inactive
C10174,52,6,1503.96,115.69,6,2022-12-02,2024-10-10,678,0.61825,0,Lost / Inactive
C10175,19,9,3435.37,137.41,7,2022-12-27,2024-11-12,686,0.5041076923076923,0,Lost / Inactive
C10176,18,3,3300.07,173.69,6,2023-11-02,2024-11-13,377,0.5378499999999999,0,Lost / Inactive
C10177,360,3,1654.71,137.89,4,2022-12-03,2023-12-07,369,0.4842666666666666,0,Lost / Inactive
C10178,272,4,1710.91,171.09,6,2022-12-11,2024-03-04,449,-0.05612499999999998,0,Lost / Inactive
C10179,12,14,5483.72,130.56,7,2022-12-07,2024-11-19,713,0.361552,0,Lost / Inactive
C10180,600,2,690.0,98.57,5,2022-12-18,2023-04-11,114,0.10774999999999998,0,Lost / Inactive
C10181,63,5,3487.21,183.54,7,2022-12-03,2024-09-29,666,0.6097769230769231,0,Lost / Inactive
C10182,230,5,1059.66,96.33,5,2023-07-03,2024-04-15,287,0.65156,0,Lost / Inactive
C10183,80,14,4819.31,133.87,7,2022-12-03,2024-09-12,649,0.35185185185185186,0,Lost / Inactive
C10184,28,4,2135.8,133.49,6,2023-09-06,2024-11-03,424,0.5122714285714286,0,Lost / Inactive
C10185,17,18,7002.76,137.31,7,2022-12-16,2024-11-14,699,0.41152,0,Lost / Inactive
C10186,4,7,5030.88,173.48,7,2023-03-23,2024-11-27,615,0.5742473684210526,0,Lost / Inactive
C10187,351,1,439.84,219.92,2,2023-12-16,2023-12-16,0,0.0,0,Lost / Inactive
C10188,30,13,5301.9,171.03,7,2023-02-01,2024-11-01,639,0.46159599999999995,0,Lost / Inactive
C10189,379,2,2516.12,251.61,6,2022-12-22,2023-11-18,331,0.73376,0,Lost / Inactive
C10190,230,1,29.68,29.68,1,2024-04-15,2024-04-15,0,0.8653,0,Lost / Inactive
C10191,283,1,10.22,10.22,1,2024-02-22,2024-02-22,0,0.0,0,Lost / Inactive
C10192,359,4,1669.28,333.86,5,2023-10-21,2023-12-08,48,0.5009750000000001,0,Lost / Inactive
C10193,37,9,5248.71,116.64,7,2023-02-13,2024-10-25,620,0.392062962962963,0,Lost / Inactive
C10195,60,8,4561.08,157.28,7,2023-01-03,2024-10-02,638,0.5924684210526315,0,Lost / Inactive
C10196,3,6,4479.14,135.73,6,2022-12-02,2024-11-28,727,0.44396521739130435,0,Lost / Inactive
C10197,239,2,624.22,124.84,4,2023-07-07,2024-04-06,274,-0.4019,0,Lost / Inactive
C10198,650,1,445.48,111.37,3,2023-02-20,2023-02-20,0,0.44406666666666667,0,Lost / Inactive
C10199,231,2,557.37,185.79,2,2022-12-31,2024-04-14,470,0.0,0,Lost / Inactive
C10200,572,1,1031.34,79.33,7,2023-05-09,2023-05-09,0,0.5717166666666667,0,Lost / Inactive
C10201,72,23,13626.06,144.96,7,2022-12-23,2024-09-20,637,0.2966016129032258,0,Lost / Inactive
C10202,64,2,309.9,154.95,2,2024-05-24,2024-09-28,127,0.8653,0,Lost / Inactive
C10203,190,6,3793.62,172.44,7,2022-12-09,2024-05-25,533,0.6774,0,Lost / Inactive
C10204,3,16,5901.69,113.49,7,2022-12-01,2024-11-28,728,0.405659375,0,Lost / Inactive
C10205,19,2,48.84,24.42,2,2022-12-11,2024-11-12,702,0.0,0,Lost / Inactive
C10206,11,6,3503.41,175.17,6,2022-12-11,2024-11-20,710,0.2568444444444445,0,Lost / Inactive
C10207,573,1,1242.82,112.98,6,2023-05-08,2023-05-08,0,0.6458125,0,Lost / Inactive
C10208,4,4,1214.89,93.45,6,2023-04-07,2024-11-27,600,0.4726375,0,Lost / Inactive
C10209,73,3,1366.55,341.64,3,2023-12-26,2024-09-19,268,0.5509000000000001,0,Lost / Inactive
C10210,3,11,2719.06,113.29,7,2023-01-08,2024-11-28,690,0.5423416666666666,0,Lost / Inactive
C10211,368,1,1575.89,131.32,6,2023-11-29,2023-11-29,0,0.014712500000000003,0,Lost / Inactive
C10212,415,2,288.44,96.15,3,2022-12-25,2023-10-13,292,0.81515,0,Lost / Inactive
C10213,243,5,2561.74,111.38,7,2022-12-05,2024-04-02,484,0.31408749999999996,0,Lost / Inactive
C10214,369,2,381.96,190.98,2,2023-03-08,2023-11-28,265,0.6554,0,Lost / Inactive
C10215,198,3,255.75,85.25,3,2022-12-15,2024-05-17,519,-0.19013333333333335,0,Lost / Inactive
C10216,12,3,1514.64,189.33,5,2022-12-26,2024-11-19,694,0.0884,0,Lost / Inactive
C10217,7,7,1937.19,138.37,6,2022-12-20,2024-11-24,705,0.53301,0,Lost / Inactive
C10218,216,1,1883.15,313.86,4,2024-04-29,2024-04-29,0,0.26335,0,Lost / Inactive
C10219,190,6,3158.49,126.34,7,2023-06-16,2024-05-25,344,0.5056647058823529,0,Lost / Inactive
C10220,367,1,676.26,135.25,4,2023-11-30,2023-11-30,0,0.29598,0,Lost / Inactive
C10221,219,3,2310.63,210.06,6,2023-05-31,2024-04-26,331,0.40452857142857146,0,Lost / Inactive
C10222,653,1,33.54,33.54,1,2023-02-17,2023-02-17,0,0.6249,0,Lost / Inactive
C10223,13,2,1582.23,175.8,6,2024-11-08,2024-11-18,10,0.20925,0,Lost / Inactive
C10224,353,2,645.22,161.3,4,2022-12-28,2023-12-14,351,0.8215333333333333,0,Lost / Inactive
C10225,213,3,1409.47,108.42,6,2023-02-10,2024-05-02,447,0.6806000000000001,0,Lost / Inactive
C10226,7,2,330.41,110.14,3,2024-05-24,2024-11-24,184,0.7907666666666667,0,Lost / Inactive
C10227,35,6,3656.53,182.83,7,2023-01-15,2024-10-27,651,0.45202857142857145,0,Lost / Inactive
C10228,377,2,586.4,117.28,4,2023-04-25,2023-11-20,209,0.394325,0,Lost / Inactive
C10229,730,1,220.69,110.34,2,2022-12-02,2022-12-02,0,0.0,0,Lost / Inactive
C10230,307,3,2436.62,187.43,6,2022-12-20,2024-01-29,405,0.2957428571428572,0,Lost / Inactive
C10231,367,4,3963.8,146.81,7,2022-12-21,2023-11-30,344,0.53458125,0,Lost / Inactive
C10232,369,2,1235.84,205.97,3,2023-03-12,2023-11-28,261,0.5149250000000001,0,Lost / Inactive
C10233,496,1,91.98,91.98,1,2023-07-24,2023-07-24,0,0.7466,0,Lost / Inactive
C10234,117,2,1213.6,101.13,7,2023-02-03,2024-08-06,550,0.5882499999999999,0,Lost / Inactive
C10235,376,3,2528.93,180.64,7,2023-04-07,2023-11-21,228,0.18807272727272728,0,Lost / Inactive
C10236,147,5,1847.78,115.49,6,2023-05-24,2024-07-07,410,0.54715,0,Lost / Inactive
C10237,59,6,4634.46,136.31,7,2022-12-13,2024-10-03,660,0.509156,0,Lost / Inactive
C10239,162,2,2595.62,185.4,6,2024-02-03,2024-06-22,140,0.60395,0,Lost / Inactive
C10240,5,16,11751.46,183.62,7,2022-12-20,2024-11-26,707,0.5379869565217391,0,Lost / Inactive
C10241,14,2,1983.54,180.32,5,2023-02-27,2024-11-17,629,0.35453999999999997,0,Lost / Inactive
C10242,262,2,1824.32,202.7,4,2023-08-17,2024-03-14,210,0.1859,0,Lost / Inactive
C10243,1,11,6104.65,160.65,7,2023-05-18,2024-11-30,562,0.3388166666666667,0,Lost / Inactive
C10244,55,5,5915.93,118.32,7,2023-04-08,2024-10-07,548,0.43020714285714284,0,Lost / Inactive
C10245,149,5,1106.18,138.27,4,2023-04-29,2024-07-05,433,0.10678333333333333,0,Lost / Inactive
C10246,4,11,5206.78,140.72,7,2022-12-23,2024-11-27,705,0.4191,0,Lost / Inactive
C10247,28,7,1027.96,114.22,4,2022-12-04,2024-11-03,700,0.43606,0,Lost / Inactive
C10249,255,2,983.4,122.93,5,2023-11-24,2024-03-21,118,0.74835,0,Lost / Inactive
C10250,67,3,2583.88,161.49,7,2023-09-10,2024-09-25,381,0.42223333333333335,0,Lost / Inactive
C10251,7,20,13136.29,149.28,7,2022-12-06,2024-11-24,719,0.4101433962264151,0,Lost / Inactive
C10252,238,3,2352.34,168.02,6,2023-06-11,2024-04-07,301,0.4127818181818182,0,Lost / Inactive
C10254,178,5,2794.17,186.28,7,2023-07-27,2024-06-06,315,0.6406909090909091,0,Lost / Inactive
C10255,179,2,1132.11,188.68,5,2024-04-25,2024-06-05,41,0.68015,0,Lost / Inactive
C10256,64,1,541.83,135.46,3,2024-09-28,2024-09-28,0,-0.07345000000000002,0,Lost / Inactive
C10257,17,2,1559.57,311.91,4,2024-08-04,2024-11-14,102,0.19955,0,Lost / Inactive
C10258,175,3,151.95,50.65,2,2022-12-18,2024-06-09,539,0.8807,0,Lost / Inactive
C10259,47,9,7073.98,181.38,7,2022-12-09,2024-10-15,676,0.5890470588235294,0,Lost / Inactive
C10260,219,4,2117.5,141.17,5,2022-12-26,2024-04-26,487,0.6094,0,Lost / Inactive
C10261,20,5,1382.51,106.35,7,2023-02-07,2024-11-11,643,0.4265875,0,Lost / Inactive
C10262,8,3,897.4,179.48,3,2024-02-22,2024-11-23,275,0.0,0,Lost / Inactive
C10263,383,1,437.81,72.97,3,2023-11-14,2023-11-14,0,0.4615,0,Lost / Inactive
C10264,90,16,10266.65,197.44,7,2022-12-01,2024-09-02,641,0.33368717948717946,0,Lost / Inactive
C10265,257,2,239.22,119.61,2,2023-11-02,2024-03-19,138,0.8656,0,Lost / Inactive
C10266,147,4,1060.62,151.52,3,2023-03-23,2024-07-07,472,0.3883571428571429,0,Lost / Inactive
C10267,88,4,2265.03,174.23,7,2023-11-18,2024-09-04,291,0.47194,0,Lost / Inactive
C10268,378,5,2284.41,114.22,7,2022-12-27,2023-11-19,327,0.3219285714285714,0,Lost / Inactive
C10270,702,2,1278.7,127.87,5,2022-12-16,2022-12-30,14,0.03599999999999998,0,Lost / Inactive
C10271,2,1,334.43,83.61,3,2024-11-29,2024-11-29,0,0.9153,0,Lost / Inactive
C10272,76,4,3037.99,168.78,6,2022-12-07,2024-09-16,649,0.3070222222222222,0,Lost / Inactive
C10273,2,5,2123.32,132.71,6,2022-12-14,2024-11-29,716,0.505,0,Lost / Inactive
C10274,598,1,205.14,102.57,2,2023-04-13,2023-04-13,0,-0.32,0,Lost / Inactive
C10275,304,1,6.12,6.12,1,2024-02-01,2024-02-01,0,0.6124,0,Lost / Inactive
C10277,12,4,2490.95,226.45,7,2023-07-11,2024-11-19,497,0.12322499999999997,0,Lost / Inactive
C10278,7,13,10711.74,178.53,7,2022-12-01,2024-11-24,724,0.46845675675675674,0,Lost / Inactive
C10279,27,4,771.77,96.47,5,2024-03-23,2024-11-04,226,0.5385,0,Lost / Inactive
C10280,2,45,22059.62,157.57,7,2022-12-07,2024-11-29,723,0.39146770833333333,0,Lost / Inactive
C10281,395,4,1454.71,132.25,6,2022-12-22,2023-11-02,315,0.22485,0,Lost / Inactive
C10282,6,1,1176.97,90.54,6,2024-11-25,2024-11-25,0,0.39948571428571433,0,Lost / Inactive
C10283,12,7,2559.27,150.55,6,2023-05-02,2024-11-19,567,0.4692083333333333,0,Lost / Inactive
C10284,30,4,714.98,119.16,3,2023-04-15,2024-11-01,566,0.5329666666666667,0,Lost / Inactive
C10285,224,5,1997.09,153.62,6,2023-03-01,2024-04-21,417,0.24776000000000004,0,Lost / Inactive
C10286,3,20,13204.73,157.2,7,2022-12-22,2024-11-28,707,0.4289307692307692,0,Lost / Inactive
C10287,607,1,1856.59,371.32,4,2023-04-04,2023-04-04,0,0.7556666666666666,0,Lost / Inactive
